Bird ID ,Infection ,Diet,Day ,Basophil,Eosinphil,Heterophil,Lymphocyte,Monocyte,H/L Ratio
SEM1976,MG,Lipid,0,0,7,5,89,0,0.056179775
SEM1976,MG,Lipid,14,0,9,2,85,4,0.023529412
SEM1976,MG,Lipid,21,0,19,7,73,1,0.095890411
610,MG,Protein,0,0,2,8,90,0,0.088888889
610,MG,Protein,21,0,9,4,87,0,0.045977011
Blue032,MG,Protein,0,2,3,21,74,0,0.283783784
Blue032,MG,Protein,7,0,9,5,76,11,0.065789474
Blue032,MG,Protein,14,0,10,26,64,0,0.40625
Blue032,MG,Protein,21,1,5,14,79,1,0.17721519
Blue035,MG,Protein,0,0,1,5,90,4,0.055555556
Blue035,MG,Protein,7,0,2,4,91,3,0.043956044
Blue035,MG,Protein,14,2,8,7,77,6,0.090909091
Blue035,MG,Protein,21,0,0,22,77,1,0.285714286
Blue037,MG,Protein,0,0,0,3,96,2,0.03125
Blue037,MG,Protein,7,0,12,1,85,2,0.011764706
Blue037,MG,Protein,14,0,6,5,85,4,0.058823529
Blue037,MG,Protein,21,0,3,3,94,0,0.031914894
Blue042,MG,Protein,0,0,0,16,80,4,0.2
Blue042,MG,Protein,7,0,0,18,70,12,0.257142857
Blue042,MG,Protein,14,5,0,11,81,3,0.135802469
Blue042,MG,Protein,21,0,0,12,85,3,0.141176471
SEM19107,MG,Protein,0,0,3,9,88,0,0.102272727
SEM19107,MG,Protein,7,0,1,0,90,9,0
SEM19107,MG,Protein,14,0,9,12,72,7,0.166666667
SEM191481,MG,Protein,0,0,2,0,98,0,0
SEM191481,MG,Protein,14,0,7,8,83,2,0.096385542
SEM191481,MG,Protein,21,0,12,7,76,5,0.092105263
SEM1974,MG,Protein,0,0,2,8,90,0,0.088888889
SEM1974,MG,Protein,7,0,10,4,81,5,0.049382716
SEM1974,MG,Protein,14,2,6,19,72,1,0.263888889
SEM1974,MG,Protein,21,0,6,8,86,0,0.093023256
