Bird,Infection,Diet,Days to recovery
Blue035,MG,protein,23
Blue042,MG,protein,18
Blue045,MG,protein,10
SEM191481,MG,protein,10
610,MG,protein,10
SEM19107,MG,protein,25
Blue037,MG,protein,28
Blue032,MG,protein,10
SEM1974,MG,protein,18
Blue043,MG,lipid,28
AR1721 ,MG,lipid,18
101LS,MG,lipid,25
Blue015,MG,lipid,35
LD19239,MG,lipid,10
SEM1976,MG,lipid,35
209,MG,lipid,35
619,MG,lipid,10
blue031,MG,lipid,35
