ID,sex,infection,Day,Lipid,Protein,Total
LD541,F,mg,26,8.73,7.37,16.1
LD541,F,mg,27,6.93,3.17,10.1
LD541,F,mg,28,10.55,9.63,20.18
LD584,F,mg,-7,0.93,1.62,2.55
LD584,F,mg,-6,3.635,5.415,9.05
LD584,F,mg,-5,0.71,5.55,6.26
LD584,F,mg,-4,1.65,3.94,5.59
LD584,F,mg,-3,1.12,3.78,4.9
LD584,F,mg,-2,-0.08,3.63,3.55
LD584,F,mg,-1,-0.85,1.07,0.22
LD584,F,mg,1,-2.58,-1.55,-4.13
LD584,F,mg,2,2.92,2.28,5.2
LD584,F,mg,3,0.09,1.67,1.76
LD584,F,mg,4,1.6,3.01,4.61
LD584,F,mg,5,1.85,2.99,4.84
LD584,F,mg,6,0.33,0.75,1.08
LD584,F,mg,7,1.26,4.93,6.19
LD584,F,mg,8,0.63,4.66,5.29
LD584,F,mg,9,2.95,5.23,8.18
LD584,F,mg,10,0.16,4.83,4.99
LD584,F,mg,11,2.93,7.14,10.07
LD584,F,mg,12,2.94,6.96,9.9
LD584,F,mg,13,3.34,8.66,12
LD584,F,mg,14,6.31,3.11,9.42
LD584,F,mg,15,1.16,4.78,5.94
LD584,F,mg,16,1.37,0.49,1.86
LD584,F,mg,17,2.21,4.41,6.62
LD584,F,mg,18,3.95,6.4,10.35
LD584,F,mg,19,3,4.63,7.63
LD584,F,mg,20,2.4,5.48,7.88
LD584,F,mg,21,2.29,9.2,11.49
LD584,F,mg,22,0.89,1.66,2.55
LD584,F,mg,23,4.22,6.54,10.76
LD584,F,mg,24,2.41,1.78,4.19
LD584,F,mg,25,6.39,8.11,14.5
LD584,F,mg,26,4.41,7.79,12.2
LD584,F,mg,27,4.3,1.09,5.39
LD584,F,mg,28,6.17,5.47,11.64
LD586,F,mg,-7,9.03,5.06,14.09
LD586,F,mg,-6,8.295,1.035,9.33
LD586,F,mg,-5,2.14,0.53,2.67
LD586,F,mg,-4,8.58,4.78,13.36
LD586,F,mg,-3,2.84,1.19,4.03
LD586,F,mg,-2,0.37,1.5,1.87
LD586,F,mg,-1,1.69,9.91,11.6
LD586,F,mg,1,2.07,0.26,2.33
LD586,F,mg,2,3.93,4.47,8.4
LD586,F,mg,3,3.06,0.36,3.42
LD586,F,mg,4,6.69,6.31,13
LD586,F,mg,5,3.41,3.7,7.11
LD586,F,mg,6,1.59,1.25,2.84
LD586,F,mg,7,2.01,6.59,8.6
LD586,F,mg,8,2.11,3.44,5.55
LD586,F,mg,9,3.85,5.98,9.83
LD586,F,mg,10,3.57,5.5,9.07
LD586,F,mg,11,5.32,7.03,12.35
LD586,F,mg,12,4.31,9.55,13.86
LD586,F,mg,13,4.18,6.67,10.85
LD586,F,mg,14,5.37,4.08,9.45
LD586,F,mg,15,3.14,-0.11,3.03
LD586,F,mg,16,7.75,1.48,9.23
LD586,F,mg,17,7.91,0.96,8.87
LD586,F,mg,18,9.36,3.29,12.65
LD586,F,mg,19,8.12,4.49,12.61
LD586,F,mg,20,8.06,3.24,11.3
LD586,F,mg,21,7.62,0.32,7.94
LD586,F,mg,22,7.64,10.3,17.94
LD586,F,mg,23,7.97,2.57,10.54
LD586,F,mg,24,9.32,3.37,12.69
LD586,F,mg,25,10.57,3.95,14.52
LD586,F,mg,26,8.93,3.17,12.1
LD586,F,mg,27,6.15,1.32,7.47
LD586,F,mg,28,9.47,4.95,14.42
SEM1978,F,mg,-7,4.45,12.44,16.89
SEM1978,F,mg,-6,0.335,6.675,7.01
SEM1978,F,mg,-5,-0.33,6.52,6.19
SEM1978,F,mg,-4,-0.26,7.31,7.05
SEM1978,F,mg,-3,-0.07,1.74,1.67
SEM1978,F,mg,-2,0.52,7.89,8.41
SEM1978,F,mg,-1,0.13,8.96,9.09
SEM1978,F,mg,1,-1.5,3.33,1.83
SEM1978,F,mg,2,2.2,7.64,9.84
SEM1978,F,mg,3,4.36,8.5,12.86
LD18221,M,mg,-7,7.58,3.29,10.87
LD18221,M,mg,-6,5.345,1.985,7.33
LD18221,M,mg,-5,3.08,3.39,6.47
LD18221,M,mg,-4,6.8,2.09,8.89
LD18221,M,mg,-3,3.01,2.05,5.06
LD18221,M,mg,-2,4.7,1.75,6.45
LD18221,M,mg,-1,-0.12,0.85,0.73
LD18221,M,mg,1,0.39,4.33,4.72
LD18221,M,mg,2,4.6,1.55,6.15
LD18221,M,mg,3,2.68,2.78,5.46
